field_1,kraftwerksnummer_bundesnetzagentur,unternehmen,kraftwerksname,plz_standort_kraftwerk,ort_standort_kraftwerk,stra_e_und_hausnummer_standort_kraftwerk,bundesland,blockname,aufnahme_der_kommerziellen_stromerzeugung_der_derzeit_in_betrie,kraftwerksstatus_in_betrieb_vorlaufig_stillgelegt_saisonale_k,energietrager,spezifizierung_mehrere_energietrager_und_sonstige_energietrag,spezifizierung_mehrere_energietrager___zusatz__ersatzbrennst,auswertungenergietrager_zuordnung_zu_einem_hauptenergietrage,vergutungsfahig_nach_eeg_ja_nein,warmeauskopplung_kwk_ja_nein,netto_nennleistung_elektrische_wirkleistung_in_mw,bezeichnung_verknupfungspunkt_schaltanlage_mit_dem_stromnetz,netz__oder_umspannebene_des_anschlusses_in_kv,name_stromnetzbetreiber,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
,BNA0715,RWE Innogy GmbH,Lehmen,56332,Lehmen,,Rheinland-Pfalz,,1962,in Betrieb,Laufwasser,,,Laufwasser,Nein,Nein,20,,20,Westnetz GmbH,0101000020E6100000CDCCCCCCCCCC1D40E3FC4D2844244940,671,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0061,,,15518,Beerfelde,,Brandenburg,,2002,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,10.5,,HS/MS,E.DIS AG,0101000020E6100000A228D027F2142C40EC4CA1F31A374A40,60,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0154,,,15518,Briesen OT Biegen,,Brandenburg,,2006,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,10,,HS,E.DIS AG,,144,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0591,MVV Energie AG,TREA Leuna,6237,Leuna,An der B91,Sachsen-Anhalt,Linie 2,2007,in Betrieb,Abfall,,,Abfall,Nein,Nein,16.25,Bau 2312,30,InfraLeuna GmbH,0101000020E6100000B9AAECBB2208284006D847A7AEA84940,547,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0202,RWE Generation SE,Dortmund,44143,Dortmund,,Nordrhein-Westfalen,KDO,2004,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,26,Dortmund,110,Westnetz GmbH,0101000020E610000077BE9F1A2FDD1D407DB3CD8DE9C14940,190,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1538,"Grundstücksges. Umspannwerk WP Schöppingen, Haverb.-Wersche GbR",,48739,Legden,Schöppingerstr. ,Nordrhein-Westfalen,,2012,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,29.5,DE00014548624E00708478N5207925L01,110,Westnetz GmbH,0101000020E61000006666666666661C40E3FC4D2844044A40,1529,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0984,Société Electrique de l'Our S.A.,PSW Vianden,L -9401,Vianden,,Luxemburg,Maschine 3,1963,in Betrieb,Pumpspeicher,,,Pumpspeicher,Nein,Nein,100,Bauler,220,Amprion GmbH,,938,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0985,Société Electrique de l'Our S.A.,PSW Vianden,L -9401,Vianden,,Luxemburg,Maschine 4,1963,in Betrieb,Pumpspeicher,,,Pumpspeicher,Nein,Nein,100,Bauler,220,Amprion GmbH,,939,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0986,Société Electrique de l'Our S.A.,PSW Vianden,L -9401,Vianden,,Luxemburg,Maschine 5,1963,in Betrieb,Pumpspeicher,,,Pumpspeicher,Nein,Nein,100,Niederstedem,220,Amprion GmbH,,940,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0987,Société Electrique de l'Our S.A.,PSW Vianden,L -9401,Vianden,,Luxemburg,Maschine 10,1975,in Betrieb,Pumpspeicher,,,Pumpspeicher,Nein,Nein,196,Niederstedem,220,Amprion GmbH,,941,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA1228,E.ON Kraftwerke GmbH,Landau,94431,Pilsting-Harburg,Stauseestraße 1,Bayern,Landau,1984,in Betrieb,Laufwasser,,,Laufwasser,Nein,Nein,12.6,Schaltanlage vor Ort,20,Bayernwerk AG,,1171,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0131,,,14770,Brandenburg,,Brandenburg,,2010,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,,18.647,,MS,Stadtwerke Brandenburg an der Havel GmbH,0101000020E61000009A99999999192940B79C4B7155354A40,121,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0941,,,39171,Sülzetal,,Sachsen-Anhalt,,2005,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,21.8,,MS,Avacon AG,,894,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0942,,,39171,Sülzetal,,Sachsen-Anhalt,,2009,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,10,,MS,Avacon AG,,895,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0794,Windkraft Unger GmbH,,9526,"Pfaffroda/E., OT Dörnthal",,Sachsen,,2007,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,18.009,,HS/MS,Mitteldeutsche Netzgesellschaft Strom mbH,,749,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA1514,Trianel Onshore Windkraftwerk Eisleben GmbH & Co. KG,Windpark Eisleben,6295,Eisleben,Heizhausweg 6a,Sachsen-Anhalt,,2013,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,26.6,UW Polleben / Reidewitz,,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E61000005D6DC5FEB26B2640A6F27684D3124A40,1487,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0731,NeNo GmbH ,,25845,Nordstrand,,Schleswig-Holstein,,2010,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,14.98998,,MS,Schleswig-Holstein Netz AG ,,686,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0024,TIWAG-Tiroler Wasserkraft AG,KW Amlach,A-9900,Amlach,,Österreich,Amlach,1989,in Betrieb,Laufwasser,,,Laufwasser,Nein,Nein,60,UW Amlach,110,TIWAG-Netz AG/APG bzw. Tennet,,26,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA1113,ENERTRAG Aktiengesellschaft,UW Roitzsch,6809,Brehna / Roitzsch,"Gemarkung Brehna / Roitzsch, an der Umgehungsstrasse",Sachsen-Anhalt,UW Roitzsch,2003,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,21.7,UW Roitzsch,20,Mitteldeutsche Netzgesellschaft Strom mbH,,1063,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0414,RWE Generation SE,Westfalen,59071,Hamm-Uentrop,,Nordrhein-Westfalen,A,1963,Endgültig Stillgelegt 2011,Steinkohle,,,Steinkohle,Nein,Nein,152,Lippborg,110,Westnetz GmbH,,1781,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0415,RWE Generation SE,Westfalen,59071,Hamm-Uentrop,,Nordrhein-Westfalen,B,1963,Endgültig Stillgelegt 2011,Steinkohle,,,Steinkohle,Nein,Nein,152,Lippborg,110,Westnetz GmbH,,1782,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
